CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
1,0.508,0,0.4875,0.5015,20,0.3465,84.81,2648.24,0.3415,0.245,0.4965
2,0.492,1,0.5125,0.5015,63,0.3325,21.84,1123.09,0.3285,0.245,0.5035
3,0.508,1,0.5125,0.5015,36,0.3325,85.4,3204.34,0.33,0.2465,0.4965
4,0.508,1,0.5125,0.4985,26,0.3325,81.86,7839.72,0.3415,0.2465,0.4965
5,0.508,1,0.4875,0.5015,54,0.3465,50.98,1822.53,0.3285,0.245,0.4965
6,0.492,0,0.4875,0.4985,28,0.3325,28.58,4905.03,0.3415,0.245,0.5035
7,0.508,1,0.4875,0.4985,19,0.3465,29.09,3475.12,0.3415,0.261,0.5035
8,0.508,0,0.4875,0.5015,24,0.3325,112.32,586.78,0.33,0.2465,0.5035
9,0.508,0,0.4875,0.5015,69,0.3325,88.93,3913.26,0.33,0.245,0.5035
10,0.492,0,0.4875,0.4985,62,0.3325,32.71,5623.27,0.3415,0.261,0.4965
11,0.508,0,0.4875,0.4985,35,0.3465,55.67,4115.5,0.33,0.2475,0.5035
12,0.508,0,0.5125,0.5015,1,0.3465,79.25,6979.41,0.33,0.2465,0.4965
13,0.508,1,0.4875,0.5015,21,0.3325,103.56,2325.72,0.3285,0.245,0.5035
14,0.508,1,0.5125,0.5015,15,0.321,24.37,708.27,0.3285,0.2465,0.5035
15,0.492,1,0.5125,0.4985,17,0.3465,43.66,7493.79,0.3415,0.261,0.5035
16,0.508,1,0.4875,0.4985,68,0.3465,108.97,3038.01,0.3415,0.245,0.5035
17,0.492,0,0.4875,0.4985,53,0.3325,20.92,4619.72,0.3415,0.2475,0.5035
18,0.492,1,0.5125,0.4985,29,0.321,40.14,6340.18,0.3415,0.2475,0.4965
19,0.492,0,0.5125,0.4985,44,0.3325,115.9,2608.02,0.3285,0.261,0.5035
20,0.508,1,0.4875,0.5015,18,0.3465,81.34,5734.99,0.33,0.2475,0.5035
21,0.492,0,0.4875,0.5015,33,0.3465,46.17,1100.64,0.3285,0.2475,0.5035
22,0.508,0,0.5125,0.4985,12,0.3325,26.7,2344.52,0.3415,0.2475,0.5035
23,0.492,1,0.4875,0.4985,42,0.3325,22.82,1174.79,0.3415,0.2475,0.5035
24,0.492,0,0.4875,0.5015,61,0.321,44.47,6493.62,0.3285,0.2475,0.4965
25,0.492,0,0.4875,0.5015,21,0.321,108.15,1796.74,0.3285,0.2475,0.5035
26,0.492,1,0.5125,0.5015,51,0.3465,61.59,5744.88,0.3415,0.2475,0.4965
27,0.492,0,0.5125,0.5015,51,0.321,92.03,7547.52,0.33,0.245,0.5035
28,0.492,1,0.5125,0.4985,35,0.321,111.83,4231.62,0.3415,0.2475,0.4965
29,0.492,1,0.4875,0.5015,18,0.3465,60.8,4329.43,0.3285,0.245,0.5035
30,0.492,1,0.4875,0.4985,37,0.3465,39.13,3699.05,0.3415,0.2465,0.5035
31,0.508,0,0.5125,0.5015,69,0.3465,71.71,2620.6,0.3415,0.261,0.4965
32,0.508,0,0.5125,0.5015,56,0.3465,110.81,3815.73,0.33,0.2475,0.5035
33,0.492,0,0.5125,0.5015,19,0.3325,100.44,4830.4,0.3415,0.261,0.4965
34,0.492,1,0.4875,0.4985,8,0.3465,26.58,7888.21,0.3415,0.2475,0.5035
35,0.492,0,0.5125,0.4985,31,0.3465,89.26,7503.36,0.3415,0.245,0.4965
36,0.508,1,0.5125,0.5015,3,0.3465,77.19,6899.98,0.3285,0.2475,0.4965
37,0.492,1,0.4875,0.4985,49,0.321,110.75,7115.26,0.3285,0.2465,0.4965
38,0.508,0,0.4875,0.4985,4,0.3465,32.25,3753.44,0.33,0.261,0.5035
39,0.508,1,0.4875,0.5015,19,0.3325,73.4,5266.41,0.3415,0.261,0.4965
40,0.508,0,0.5125,0.5015,36,0.3325,107.95,7162.63,0.3285,0.2465,0.5035
41,0.508,0,0.4875,0.4985,21,0.3465,61.0,3155.75,0.33,0.245,0.4965
42,0.508,0,0.4875,0.4985,57,0.3325,68.2,7694.86,0.3415,0.245,0.4965
43,0.492,0,0.5125,0.4985,67,0.321,27.05,3337.97,0.33,0.2465,0.4965
44,0.492,0,0.4875,0.5015,43,0.3465,47.81,4816.64,0.33,0.261,0.5035
45,0.492,1,0.5125,0.5015,33,0.3325,52.45,5684.24,0.33,0.2475,0.5035
46,0.492,1,0.5125,0.4985,41,0.3325,114.51,7605.72,0.33,0.245,0.5035
47,0.492,1,0.4875,0.5015,8,0.3465,48.27,1972.04,0.33,0.2475,0.4965
48,0.508,0,0.4875,0.5015,6,0.3325,66.09,5974.13,0.33,0.261,0.5035
49,0.492,0,0.4875,0.4985,67,0.3465,87.13,4176.11,0.33,0.2475,0.5035
50,0.492,0,0.4875,0.4985,18,0.3325,36.22,2163.09,0.3415,0.2465,0.4965
51,0.508,1,0.4875,0.5015,30,0.321,68.64,6217.32,0.3415,0.245,0.4965
52,0.492,0,0.4875,0.5015,34,0.3325,93.85,4426.73,0.33,0.245,0.5035
53,0.508,1,0.5125,0.4985,56,0.3325,106.69,5294.57,0.3415,0.2465,0.5035
54,0.492,1,0.5125,0.5015,60,0.3465,82.63,2596.75,0.33,0.2465,0.5035
55,0.508,0,0.4875,0.5015,30,0.3325,86.91,3860.57,0.3415,0.245,0.4965
56,0.492,0,0.5125,0.4985,52,0.3465,32.63,4946.49,0.3285,0.245,0.4965
57,0.492,1,0.4875,0.4985,31,0.321,114.58,3251.19,0.33,0.245,0.4965
58,0.508,0,0.5125,0.5015,65,0.3465,33.26,1603.01,0.3285,0.261,0.4965
59,0.508,1,0.5125,0.5015,58,0.3465,97.47,7693.89,0.33,0.261,0.4965
60,0.508,0,0.5125,0.5015,9,0.3325,46.48,4101.51,0.33,0.261,0.5035
61,0.508,0,0.4875,0.4985,1,0.321,113.36,5876.68,0.3285,0.2475,0.5035
62,0.508,1,0.5125,0.5015,65,0.3465,92.0,3300.16,0.3285,0.261,0.5035
63,0.508,0,0.4875,0.5015,59,0.3325,95.38,2853.95,0.3285,0.245,0.4965
64,0.508,1,0.5125,0.4985,16,0.3325,41.91,3269.17,0.33,0.261,0.4965
65,0.508,0,0.5125,0.4985,15,0.3465,64.3,3285.39,0.3285,0.245,0.5035
66,0.492,1,0.5125,0.5015,15,0.3325,81.78,4362.56,0.3285,0.2465,0.5035
67,0.492,1,0.5125,0.4985,45,0.3465,97.0,4356.89,0.3415,0.2475,0.5035
68,0.508,0,0.5125,0.4985,38,0.3465,30.4,3987.29,0.3415,0.2475,0.4965
