CustomerID,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Gender_Female,Gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_No,Churn_Yes
1,0,20,84.81,2648.24,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
2,1,63,21.84,1123.09,True,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True
3,1,36,85.4,3204.34,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False
4,1,26,81.86,7839.72,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False
5,1,54,50.98,1822.53,False,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
6,0,28,28.58,4905.03,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True
7,1,19,29.09,3475.12,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
8,0,24,112.32,586.78,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
9,0,69,88.93,3913.26,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
10,0,62,32.71,5623.27,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False
11,0,35,55.67,4115.5,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
12,0,1,79.25,6979.41,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False
13,1,21,103.56,2325.72,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
14,1,15,24.37,708.27,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True
15,1,17,43.66,7493.79,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True
16,1,68,108.97,3038.01,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
17,0,53,20.92,4619.72,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
18,1,29,40.14,6340.18,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False
19,0,44,115.9,2608.02,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True
20,1,18,81.34,5734.99,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
21,0,33,46.17,1100.64,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
22,0,12,26.7,2344.52,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True
23,1,42,22.82,1174.79,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
24,0,61,44.47,6493.62,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False
25,0,21,108.15,1796.74,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True
26,1,51,61.59,5744.88,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False
27,0,51,92.03,7547.52,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True
28,1,35,111.83,4231.62,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False
29,1,18,60.8,4329.43,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True
30,1,37,39.13,3699.05,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
31,0,69,71.71,2620.6,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False
32,0,56,110.81,3815.73,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True
33,0,19,100.44,4830.4,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False
34,1,8,26.58,7888.21,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
35,0,31,89.26,7503.36,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False
36,1,3,77.19,6899.98,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False
37,1,49,110.75,7115.26,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
38,0,4,32.25,3753.44,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True
39,1,19,73.4,5266.41,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False
40,0,36,107.95,7162.63,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True
41,0,21,61.0,3155.75,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
42,0,57,68.2,7694.86,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
43,0,67,27.05,3337.97,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False
44,0,43,47.81,4816.64,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
45,1,33,52.45,5684.24,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True
46,1,41,114.51,7605.72,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True
47,1,8,48.27,1972.04,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False
48,0,6,66.09,5974.13,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True
49,0,67,87.13,4176.11,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
50,0,18,36.22,2163.09,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
51,1,30,68.64,6217.32,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
52,0,34,93.85,4426.73,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True
53,1,56,106.69,5294.57,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True
54,1,60,82.63,2596.75,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
55,0,30,86.91,3860.57,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
56,0,52,32.63,4946.49,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
57,1,31,114.58,3251.19,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
58,0,65,33.26,1603.01,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False
59,1,58,97.47,7693.89,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
60,0,9,46.48,4101.51,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True
61,0,1,113.36,5876.68,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
62,1,65,92.0,3300.16,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True
63,0,59,95.38,2853.95,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False
64,1,16,41.91,3269.17,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False
65,0,15,64.3,3285.39,False,True,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True
66,1,15,81.78,4362.56,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True
67,1,45,97.0,4356.89,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True
68,0,38,30.4,3987.29,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False
69,1,30,116.24,1095.59,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
70,0,0,109.02,3978.68,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
71,0,10,47.03,1369.45,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False
72,0,3,102.28,1026.56,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False
73,1,70,71.83,7462.51,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True
74,1,25,66.18,4847.5,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True
75,0,49,51.44,5282.73,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
76,0,11,78.1,3226.31,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False
77,1,64,92.99,7273.67,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
78,0,46,61.09,5110.69,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False
79,0,52,82.92,6157.98,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False
80,1,70,89.93,2961.13,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True
81,0,1,91.11,7680.89,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False
82,1,23,25.2,6567.28,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
83,0,3,105.97,6834.51,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True
84,1,18,65.83,1394.11,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False
85,0,25,46.24,2182.29,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,True,False
86,0,39,44.18,2299.3,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
