CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
1,1.0,0,0.0,1.0,20,1.0,84.81,2648.24,2.0,1.0,0.0
2,0.0,1,1.0,1.0,63,0.0,21.84,1123.09,1.0,1.0,1.0
3,1.0,1,1.0,1.0,36,0.0,85.4,3204.34,0.0,0.0,0.0
4,1.0,1,1.0,0.0,26,0.0,81.86,7839.72,2.0,0.0,0.0
5,1.0,1,0.0,1.0,54,1.0,50.98,1822.53,1.0,1.0,0.0
6,0.0,0,0.0,0.0,28,0.0,28.58,4905.03,2.0,1.0,1.0
7,1.0,1,0.0,0.0,19,1.0,29.09,3475.12,2.0,3.0,1.0
8,1.0,0,0.0,1.0,24,0.0,112.32,586.78,0.0,0.0,1.0
9,1.0,0,0.0,1.0,69,0.0,88.93,3913.26,0.0,1.0,1.0
10,0.0,0,0.0,0.0,62,0.0,32.71,5623.27,2.0,3.0,0.0
11,1.0,0,0.0,0.0,35,1.0,55.67,4115.5,0.0,2.0,1.0
12,1.0,0,1.0,1.0,1,1.0,79.25,6979.41,0.0,0.0,0.0
13,1.0,1,0.0,1.0,21,0.0,103.56,2325.72,1.0,1.0,1.0
14,1.0,1,1.0,1.0,15,2.0,24.37,708.27,1.0,0.0,1.0
15,0.0,1,1.0,0.0,17,1.0,43.66,7493.79,2.0,3.0,1.0
16,1.0,1,0.0,0.0,68,1.0,108.97,3038.01,2.0,1.0,1.0
17,0.0,0,0.0,0.0,53,0.0,20.92,4619.72,2.0,2.0,1.0
18,0.0,1,1.0,0.0,29,2.0,40.14,6340.18,2.0,2.0,0.0
19,0.0,0,1.0,0.0,44,0.0,115.9,2608.02,1.0,3.0,1.0
20,1.0,1,0.0,1.0,18,1.0,81.34,5734.99,0.0,2.0,1.0
21,0.0,0,0.0,1.0,33,1.0,46.17,1100.64,1.0,2.0,1.0
22,1.0,0,1.0,0.0,12,0.0,26.7,2344.52,2.0,2.0,1.0
23,0.0,1,0.0,0.0,42,0.0,22.82,1174.79,2.0,2.0,1.0
24,0.0,0,0.0,1.0,61,2.0,44.47,6493.62,1.0,2.0,0.0
25,0.0,0,0.0,1.0,21,2.0,108.15,1796.74,1.0,2.0,1.0
26,0.0,1,1.0,1.0,51,1.0,61.59,5744.88,2.0,2.0,0.0
27,0.0,0,1.0,1.0,51,2.0,92.03,7547.52,0.0,1.0,1.0
28,0.0,1,1.0,0.0,35,2.0,111.83,4231.62,2.0,2.0,0.0
29,0.0,1,0.0,1.0,18,1.0,60.8,4329.43,1.0,1.0,1.0
30,0.0,1,0.0,0.0,37,1.0,39.13,3699.05,2.0,0.0,1.0
